age DEMOGRAPHICS...GENDER Q4..Number.of.People.in.HH Q5..Children.in.HH Q18..College.Degree Q19.20..Race...Ethnicity week trump_approve_score Social.Distancing.Adherence
69 Male 2 0 FALSE White 1 5 1
81 Female 2 0 FALSE Black 1 1 0
84 Female 2 0 FALSE White 1 1 1
62 Male 2 0 FALSE White 1 4 1
78 Male 2 0 TRUE White 1 1 1
81 Male 1 0 FALSE White 1 5 0
73 Male 2 0 FALSE White 1 5 0
86 Male 2 0 TRUE White 1 2 0
92 Female 1 0 FALSE White 1 5 0
79 Male 2 0 FALSE White 1 4 1
66 Female 2 0 FALSE Black 1 1 1
91 Female 1 0 FALSE White 1 1 1
72 Female 3 0 FALSE Black 1 1 1
73 Female 2 0 FALSE Black 1 1 1
63 Male 6 0 TRUE Other 1 2 0
57 Male 2 0 FALSE White 1 5 1
77 Female 5 1 FALSE White 1 2 0
63 Female 3 0 TRUE Black 1 2 0
22 Female 3 1 TRUE Black 1 1 1
54 Male 8 3 FALSE White 1 5 1
56 Male 2 0 TRUE White 1 5 0
46 Male 4 2 TRUE Hispanic.Latino 1 5 1
66 Female 2 0 FALSE White 1 5 0
66 Female 4 1 FALSE White 1 5 1
63 Female 1 0 FALSE White 1 3 0
81 Female 2 0 FALSE White 1 5 1
83 Female 1 0 FALSE White 1 3 0
76 Female 3 3 TRUE Black 1 1 0
49 Male 4 1 FALSE White 1 4 0
77 Female 3 0 FALSE Black 1 1 0
46 Female 4 0 TRUE Black 1 2 0
50 Female 2 0 FALSE White 1 4 0
53 Female 4 1 TRUE White 1 3 1
60 Male 3 0 TRUE White 1 1 1
66 Female 1 0 FALSE White 1 1 0
67 Female 1 0 TRUE White 1 1 0
52 Male 3 0 TRUE White 1 5 1
49 Female 3 0 TRUE White 1 5 1
79 Female 2 0 FALSE Black 1 2 1
40 Male 5 3 TRUE White 1 1 0
56 Male 2 0 TRUE White 1 1 1
76 Female 1 0 FALSE White 1 3 0
71 Male 2 0 FALSE White 1 5 1
79 Female 2 0 FALSE White 1 1 1
57 Female 3 1 TRUE White 1 4 1
50 Female 3 0 FALSE White 1 5 1
50 Female 5 2 FALSE White 1 5 0
76 Male 2 0 TRUE White 1 3 1
46 Male 9 3 TRUE White 1 5 1
57 Female 5 1 TRUE White 1 2 1
74 Female 4 2 FALSE White 1 3 0
44 Female 5 3 FALSE Black 1 1 0
56 Female 2 0 FALSE White 1 5 1
50 Female 3 0 FALSE Black 1 1 1
35 Female 4 2 FALSE White 1 5 1
52 Female 2 0 TRUE White 1 1 0
51 Female 6 3 FALSE White 1 1 1
67 Male 1 0 FALSE Black 1 2 1
57 Female 3 1 TRUE White 1 5 0
57 Male 2 0 TRUE Asian 1 5 0
42 Female 4 0 FALSE White 1 2 1
46 Male 4 2 TRUE White 1 2 1
55 Female 3 0 FALSE Black 1 1 1
65 Male 2 0 TRUE Black 1 1 1
47 Male 2 0 FALSE Black 1 4 0
74 Male 2 0 TRUE White 1 3 1
69 Male 5 0 TRUE Other 1 1 1
57 Male 3 0 TRUE White 1 5 1
32 Male 9 3 FALSE White 1 4 0
62 Female 3 0 FALSE White 1 3 1
53 Female 2 1 TRUE White 1 4 1
55 Female 4 0 TRUE White 1 5 0
74 Male 1 0 FALSE White 1 4 1
38 Male 3 1 TRUE Black 1 1 1
47 Male 2 0 TRUE White 1 5 0
84 Male 1 0 FALSE White 1 5 1
42 Female 4 2 FALSE Black 1 5 0
71 Female 1 0 FALSE White 1 5 1
82 Male 2 0 TRUE White 1 1 1
84 Female 9 0 TRUE Black 1 1 0
78 Male 1 0 FALSE White 1 1 1
64 Female 4 0 FALSE White 1 1 0
50 Male 4 0 TRUE White 1 1 1
80 Female 2 0 FALSE White 1 1 0
55 Female 5 0 FALSE Black 1 1 1
65 Female 4 1 TRUE White 1 3 0
80 Female 1 0 FALSE White 1 1 1
51 Female 2 0 FALSE White 1 5 1
